Country_Code,Country_Name,Indicator_Code,Indicator_Name,Number of Records,Year,Value
HKG,"Hong Kong SAR, China",NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1986,14040
GBR,United Kingdom,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1986,24832
USA,United States,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1986,32918
SGP,Singapore,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1986,16883
NLD,Netherlands,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1986,31943
NOR,Norway,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1986,57891
DNK,Denmark,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1987,42897
FRA,France,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1987,29623
DEU,Germany,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1987,29439
NLD,Netherlands,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1987,32657
NOR,Norway,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1987,58721
SGP,Singapore,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1987,17938
SWE,Sweden,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1987,35658
CHE,Switzerland,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1987,60586
HKG,"Hong Kong SAR, China",NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1987,15743
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1987,32597
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1987,32005
GBR,United Kingdom,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1987,26063
USA,United States,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1987,33750
DNK,Denmark,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1988,42781
FRA,France,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1988,30813
DEU,Germany,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1988,30557
HKG,"Hong Kong SAR, China",NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1988,16988
NLD,Netherlands,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1988,33468
NOR,Norway,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1988,57760
SGP,Singapore,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1988,19710
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1988,33888
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1988,32925
GBR,United Kingdom,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1988,27521
USA,United States,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1988,34867
SWE,Sweden,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1988,36367
CHE,Switzerland,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1988,62550
FRA,France,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1989,31889
DEU,Germany,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1989,31555
HKG,"Hong Kong SAR, China",NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1989,17187
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1989,34314
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1989,33010
DNK,Denmark,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1989,42882
NLD,Netherlands,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1989,34816
NOR,Norway,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1989,57981
SGP,Singapore,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1989,21247
SWE,Sweden,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1989,36995
CHE,Switzerland,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1989,64387
GBR,United Kingdom,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1989,28116
USA,United States,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1989,35810
DNK,Denmark,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1990,43318
NLD,Netherlands,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1990,35619
NOR,Norway,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1990,58809
SGP,Singapore,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1990,22352
SWE,Sweden,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1990,36693
CHE,Switzerland,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1990,65627
